SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeVariance,ResponseTimeStandardDeviation,ResponseTimeMean,ResponseTimeMedian,ResponseTimeMode,ResponseTimeSkewFromMedian,ResponseTimeSkewFromMode,ResponseTimeCoefficientofVariation,Classification
192.168.1.50,157.240.5.61,56056,443,2025-01-13 21:08:01,0.0,120,-1.0,0,-1.0,0.0,0.0,120.0,120.0,120.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,157.240.5.61,56056,443,2025-01-13 21:08:01,0.01839590072631836,120,6523.192410378703,66,3587.755825708287,729.0,27.0,93.0,93.0,66.0,0.0,1.0,0.2903225806451613,8.460229088314009e-05,0.00919795036315918,0.00919795036315918,0.00919795036315918,0.0,0.0,1.0,1.0,0.0,0.0,0.01839590072631836,0.01839590072631836,0.01839590072631836,-10.0,-10.0,0.0,False
192.168.1.50,208.89.12.87,55760,443,2025-01-13 21:08:02,0.0,243,-1.0,0,-1.0,0.0,0.0,243.0,243.0,243.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,208.89.12.87,55760,443,2025-01-13 21:08:02,0.1039421558380127,243,2337.8387531109147,66,634.9685502276559,7832.25,88.5,154.5,154.5,66.0,0.0,1.0,0.5728155339805825,0.002700992940063429,0.05197107791900635,0.05197107791900635,0.05197107791900635,0.0,0.0,1.0,1.0,0.0,0.0,0.1039421558380127,0.1039421558380127,0.1039421558380127,-10.0,-10.0,0.0,False
192.168.1.50,208.89.12.87,55760,443,2025-01-13 21:08:02,0.1060800552368164,243,2290.7227891003567,1044,9841.623834653385,155922.0,394.8695987284916,429.0,243.0,66.0,1.4131247424385163,0.9192908270702176,0.920441955078069,0.002451280054793238,0.049510403500610235,0.0700074036916097,0.1039421558380127,0.0,-2.0562194860309355,1.413993802145984,0.7072166783774614,0.0,0.0,0.1039421558380127,0.1039421558380127,0.1039421558380127,-10.0,-10.0,0.0,False
192.168.1.50,208.89.12.87,55760,443,2025-01-13 21:08:02,0.10622596740722656,309,2908.893254089383,1044,9828.105363331118,141648.1875,376.3617774163577,338.25,154.5,66.0,1.4646811474433248,0.7233731381250705,1.1126733996049007,0.0020844196081490907,0.04565544445243185,0.07906204462051392,0.10501110553741455,0.0,-1.7051018489549574,1.7317112026559769,0.5774634930271689,0.0,0.0,0.1039421558380127,0.1039421558380127,0.1039421558380127,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.0,105,-1.0,0,-1.0,0.0,0.0,105.0,105.0,105.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.000164031982421875,105,640119.0697674418,66,402360.5581395349,380.25,19.5,85.5,85.5,66.0,0.0,1.0,0.22807017543859648,6.726622814312577e-09,8.20159912109375e-05,8.20159912109375e-05,8.20159912109375e-05,0.0,0.0,1.0,1.0,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.0006849765777587891,105,153289.91298294466,171,249643.57257222416,338.0,18.384776310850235,92.0,105.0,105.0,-2.121320343559643,-0.7071067811865476,0.19983452511793734,8.527585274957043e-08,0.0002920202950987661,0.0002830028533935547,0.000164031982421875,0.0,1.22221852010089,0.9691204965663035,1.0318634303402991,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.0011911392211914062,105,88150.90472377902,261,219117.96317053642,254.25,15.945218719101975,91.5,97.5,105.0,-1.1288650420603168,-0.8466487815452375,0.1742646854546664,2.1859032628412933e-07,0.0004675364438031856,0.0005100369453430176,0.00042450428009033203,0.0,0.5488299343485494,1.0909030774031447,0.9166717197099341,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.0012600421905517578,105,83330.54304635762,327,259515.1197729423,307.44000000000005,17.533967035442952,86.4,90.0,66.0,-0.6159473197462384,1.1634560484095635,0.20293943328058972,2.648735198818031e-07,0.0005146586440368053,0.0006600379943847656,0.0006849765777587891,0.0,-0.14536965615741193,1.2824772342453141,0.7797409367570252,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.0382080078125,171,4475.501597444089,327,8558.415335463258,314.0,17.72004514666935,83.0,78.0,66.0,0.8464989719746505,0.9593655015712707,0.21349451983938975,0.0001960332331363032,0.014001186847417729,0.006918032964070638,0.0009380578994750977,0.0,1.2813146049183197,0.4941033242011585,2.0238681891419166,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.03821110725402832,261,6830.474664470359,327,8557.721131347922,275.14285714285717,16.58743069745454,84.0,90.0,66.0,-1.0851590175904837,1.0851590175904837,0.19746941306493498,0.00028793744454746117,0.01696871959068984,0.011388472148350306,0.0011911392211914062,0.0,1.8028466212772758,0.6711450494236921,1.4899908758303342,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.03821206092834473,327,8557.507552738141,327,8557.507552738141,276.1875,16.618889854620253,81.75,78.0,66.0,0.6769405236097863,0.9477167330537009,0.2032891725335811,0.00033064111406133634,0.01818353964610126,0.01474142074584961,0.001225590705871582,0.0,2.229900828391676,0.8107013833805632,1.233499807080723,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.03821396827697754,393,10284.197578003632,327,8557.080427499204,270.0,16.431676725154983,80.0,66.0,66.0,2.5560386016907755,0.8520128672302585,0.20539595906443728,0.0003483190631262308,0.018663307936328727,0.0173494815826416,0.0012600421905517578,0.0,2.586268111791356,0.9296037788065576,1.075727124607667,0.0,0.0,0.000164031982421875,0.000164031982421875,0.000164031982421875,-10.0,-10.0,0.0,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.03842616081237793,393,10227.407362366679,381,9915.120114660825,303.84000000000003,17.431006855600742,77.4,66.0,66.0,1.9620209138413163,0.6540069712804387,0.22520680691990622,0.0003534675334753956,0.018800732259021073,0.019457149505615234,0.01973402500152588,0.0,-0.044180539156041636,1.034914451073,0.9662634423195071,5.798597157991026e-10,2.4080276489257812e-05,0.0001881122589111328,0.0001881122589111328,0.000164031982421875,0.0,1.0,0.12801013941698353,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.038496971130371094,393,10208.595337775907,435,11299.590259370278,321.47107438016525,17.92961445152029,75.27272727272727,66.0,66.0,1.551521472667419,0.517173824222473,0.23819536107092176,0.00035129402278775805,0.018742839240300763,0.02118804238059304,0.0382080078125,0.0,-2.724234873974277,1.13046065801144,0.8845951364278969,5.798597157991026e-10,2.4080276489257812e-05,0.0001881122589111328,0.0001881122589111328,0.000164031982421875,0.0,1.0,0.12801013941698353,False
63.140.62.17,192.168.1.50,443,56222,2025-01-13 21:08:02,0.038514137268066406,393,10204.045264330816,489,12696.636473938344,329.25,18.145247311624054,73.5,66.0,66.0,1.239994121523284,0.4133313738410947,0.24687411308332047,0.00034495097369813266,0.01857285583043525,0.02263188362121582,0.03820955753326416,0.0,-2.516200102063132,1.2185462390834403,0.8206500237136465,5.798597157991026e-10,2.4080276489257812e-05,0.0001881122589111328,0.0001881122589111328,0.000164031982421875,0.0,1.0,0.12801013941698353,False
192.168.1.50,142.250.201.67,56256,80,2025-01-13 21:08:02,0.0,54,-1.0,0,-1.0,0.0,0.0,54.0,54.0,54.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,142.250.201.67,56234,80,2025-01-13 21:08:02,0.0,54,-1.0,0,-1.0,0.0,0.0,54.0,54.0,54.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,192.229.221.95,56214,80,2025-01-13 21:08:02,0.0,54,-1.0,0,-1.0,0.0,0.0,54.0,54.0,54.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,142.250.201.67,56256,80,2025-01-13 21:08:02,0.018341064453125,54,2944.2129783693845,66,3598.4825291181364,36.0,6.0,60.0,60.0,54.0,0.0,1.0,0.1,8.409866131842136e-05,0.0091705322265625,0.0091705322265625,0.0091705322265625,0.0,0.0,1.0,1.0,0.0,0.0,0.018341064453125,0.018341064453125,0.018341064453125,-10.0,-10.0,0.0,False
192.168.1.50,192.229.221.95,56214,80,2025-01-13 21:08:02,0.018285036087036133,54,2953.234532486668,66,3609.5088730392604,36.0,6.0,60.0,60.0,54.0,0.0,1.0,0.1,8.358563617605341e-05,0.009142518043518066,0.009142518043518066,0.009142518043518066,0.0,0.0,1.0,1.0,0.0,0.0,0.018285036087036133,0.018285036087036133,0.018285036087036133,-10.0,-10.0,0.0,False
192.168.1.50,142.250.201.67,56234,80,2025-01-13 21:08:02,0.01829981803894043,54,2950.8490130936098,66,3606.593238225523,36.0,6.0,60.0,60.0,54.0,0.0,1.0,0.1,8.372083506458239e-05,0.009149909019470215,0.009149909019470215,0.009149909019470215,0.0,0.0,1.0,1.0,0.0,0.0,0.01829981803894043,0.01829981803894043,0.01829981803894043,-10.0,-10.0,0.0,False
192.168.1.50,13.107.246.43,56309,443,2025-01-13 21:08:02,0.0,66,-1.0,0,-1.0,0.0,0.0,66.0,66.0,66.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,13.107.246.43,56309,443,2025-01-13 21:08:02,0.015364885330200195,66,4295.508790441461,66,4295.508790441461,0.0,0.0,66.0,66.0,66.0,-10.0,-10.0,0.0,5.901992530255029e-05,0.007682442665100098,0.007682442665100098,0.007682442665100098,0.0,0.0,1.0,1.0,0.0,0.0,0.015364885330200195,0.015364885330200195,0.015364885330200195,-10.0,-10.0,0.0,False
192.168.1.50,13.107.246.43,56309,443,2025-01-13 21:08:02,0.015547990798950195,132,8489.842945424993,66,4244.921472712496,0.0,0.0,66.0,66.0,66.0,-10.0,-10.0,0.0,5.30948051896808e-05,0.007286618227249237,0.01030429204305013,0.015364885330200195,0.0,-2.0835152038947222,1.414139141325659,0.7071439936685213,0.0,0.0,0.015364885330200195,0.015364885330200195,0.015364885330200195,-10.0,-10.0,0.0,False
192.168.1.50,140.82.112.21,56313,443,2025-01-13 21:08:03,0.0,78,-1.0,0,-1.0,0.0,0.0,78.0,78.0,78.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.0,159,-1.0,0,-1.0,0.0,0.0,159.0,159.0,159.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10.0,-10.0,-1.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.014753103256225586,159,10777.393558396225,66,4473.635061975791,2162.25,46.5,112.5,112.5,66.0,0.0,1.0,0.41333333333333333,5.44135139222135e-05,0.007376551628112793,0.007376551628112793,0.007376551628112793,0.0,0.0,1.0,1.0,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
192.168.1.50,216.58.215.132,56142,443,2025-01-13 21:08:03,0.07407593727111816,159,2146.446010099872,717,9679.256536110744,65882.0,256.6748916431056,292.0,159.0,66.0,1.5544956401687735,0.8804912648575008,0.8790236015174848,0.0010248996859824426,0.0320140545070824,0.02960968017578125,0.014753103256225586,0.0,1.3921926305462786,0.9248962879484935,1.0812023067127812,0.0,0.0,0.014753103256225586,0.014753103256225586,0.014753103256225586,-10.0,-10.0,0.0,False
