"No.","Time","Source","Destination","Protocol","Length","Info"
"2886","41.314367448","192.168.64.11","192.168.64.1","DNS","97","Standard query 0x33ee A mozilla.cloudflare-dns.com OPT"
"2894","41.321312664","192.168.64.1","192.168.64.11","DNS","129","Standard query response 0x33ee A mozilla.cloudflare-dns.com A 172.64.41.4 A 162.159.61.4 OPT"
"3380","229.783692060","192.168.64.11","192.168.64.1","DNS","97","Standard query 0x845c AAAA mozilla.cloudflare-dns.com OPT"
"3383","229.790758821","192.168.64.1","192.168.64.11","DNS","153","Standard query response 0x845c AAAA mozilla.cloudflare-dns.com AAAA 2803:f800:53::4 AAAA 2a06:98c1:52::4 OPT"
"3668","474.800616857","192.168.64.11","192.168.64.1","DNS","97","Standard query 0x7264 A mozilla.cloudflare-dns.com OPT"
"3670","474.800677149","192.168.64.11","192.168.64.1","DNS","97","Standard query 0x4edf AAAA mozilla.cloudflare-dns.com OPT"
"3675","474.809087550","192.168.64.1","192.168.64.11","DNS","129","Standard query response 0x7264 A mozilla.cloudflare-dns.com A 172.64.41.4 A 162.159.61.4 OPT"
"3676","474.809087675","192.168.64.1","192.168.64.11","DNS","153","Standard query response 0x4edf AAAA mozilla.cloudflare-dns.com AAAA 2803:f800:53::4 AAAA 2a06:98c1:52::4 OPT"
"5440","537.346298738","192.168.64.11","192.168.64.1","DNS","93","Standard query 0xd2a5 A firefox.dns.nextdns.io OPT"
"5441","537.346387489","192.168.64.11","192.168.64.1","DNS","93","Standard query 0x7a18 AAAA firefox.dns.nextdns.io OPT"
"5442","537.354637847","192.168.64.1","192.168.64.11","DNS","172","Standard query response 0x7a18 AAAA firefox.dns.nextdns.io CNAME steering.nextdns.io AAAA 2a00:11c0:1e:4::3 AAAA 2a0d:5642:113:242:5054:ff:fe48:675 OPT"
"5443","537.354638097","192.168.64.1","192.168.64.11","DNS","148","Standard query response 0xd2a5 A firefox.dns.nextdns.io CNAME steering.nextdns.io A 194.156.155.239 A 217.146.1.31 OPT"
"5495","537.411329929","192.168.64.11","194.156.155.239","DoH","366","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"5497","537.411497014","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 HTTPS tiles-cdn.prod.ads.prod.webservices.mozgcp.net OPT"
"5499","537.411709099","192.168.64.11","194.156.155.239","DoH","225","Standard query 0x0000 AAAA www.amazon.es OPT"
"5551","537.430070080","194.156.155.239","192.168.64.11","DoH","294","Standard query response 0x0000 HTTPS incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com SOA ns-1507.awsdns-60.org OPT"
"5555","537.430070163","194.156.155.239","192.168.64.11","DoH","265","Standard query response 0x0000 HTTPS tiles-cdn.prod.ads.prod.webservices.mozgcp.net SOA ns-cloud-e1.googledomains.com OPT"
"5558","537.430078663","192.168.64.11","194.156.155.239","HTTP2","586","HEADERS[25]: POST /"
"5559","537.430082038","192.168.64.11","194.156.155.239","DoH","586","[TCP Window Full] Standard query 0x0000 AAAA temuaffiliateprogram.pxf.io OPT, HEADERS[31]: POST /"
"5571","537.438297146","194.156.155.239","192.168.64.11","DoH","442","Standard query response 0x0000 AAAA www.amazon.es CNAME tp.1fe6d5bb2-frontier.amazon.es CNAME d12yd29zdqmfwy.cloudfront.net AAAA 2600:9000:24dd:3800:15:da86:494:7521 AAAA 2600:9000:24dd:600:15:da86:494:7521 AAAA 2600:9000:24dd:fe00:15:da86:494:7521 AAAA 2600:9000:24dd:ac00:15:da86:494:7521 AAAA 2600:9000:24dd:fc00:15:da86:494:7521 AAAA 2600:9000:24dd:6200:15:da86:494:7521 AAAA 2600:9000:24dd:800:15:da86:494:7521 AAAA 2600:9000:24dd:7c00:15:da86:494:7521 OPT"
"5593","537.447570304","192.168.64.11","194.156.155.239","HTTP2","586","HEADERS[35]: POST /"
"5594","537.447576012","192.168.64.11","194.156.155.239","DoH","586","[TCP Window Full] Standard query 0x0000 HTTPS www.youtube.com OPT, HEADERS[41]: POST /"
"5596","537.449416569","194.156.155.239","192.168.64.11","DoH","234","Standard query response 0x0000 A www.amazon.es CNAME tp.1fe6d5bb2-frontier.amazon.es CNAME d12yd29zdqmfwy.cloudfront.net A 18.154.57.18 OPT"
"5600","537.449416652","194.156.155.239","192.168.64.11","DoH","169","Standard query response 0x0000 A temuaffiliateprogram.pxf.io A 35.201.76.231 OPT"
"5601","537.449416652","194.156.155.239","192.168.64.11","DoH","237","Standard query response 0x0000 HTTPS temuaffiliateprogram.pxf.io SOA ns-904.awsdns-49.net OPT"
"5602","537.449416694","194.156.155.239","192.168.64.11","DoH","237","Standard query response 0x0000 AAAA temuaffiliateprogram.pxf.io SOA ns-904.awsdns-49.net OPT"
"5607","537.449448236","194.156.155.239","192.168.64.11","DoH","305","Standard query response 0x0000 HTTPS www.amazon.es CNAME tp.1fe6d5bb2-frontier.amazon.es CNAME d12yd29zdqmfwy.cloudfront.net SOA ns-1926.awsdns-48.co.uk OPT"
"5615","537.464197105","192.168.64.11","194.156.155.239","HTTP2","586","HEADERS[45]: POST /"
"5616","537.464201605","192.168.64.11","194.156.155.239","DoH","586","Standard query 0x0000 A consent.youtube.com OPT, HEADERS[51]: POST /"
"5617","537.464291439","192.168.64.11","194.156.155.239","HTTP2","586","HEADERS[55]: POST /"
"5618","537.464304106","192.168.64.11","194.156.155.239","DoH","586","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT, SETTINGS[0]"
"5620","537.464417398","192.168.64.11","194.156.155.239","HTTP2","467","HEADERS[61]: POST /Standard query 0x0000 HTTPS tiles-cdn.prod.ads.prod.webservices.mozgcp.net OPT"
"5622","537.466271705","194.156.155.239","192.168.64.11","DoH","305","Standard query response 0x0000 AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2a00:1450:4003:806::200e AAAA 2a00:1450:4003:80d::200e AAAA 2a00:1450:4003:811::200e AAAA 2a00:1450:4003:800::200e OPT"
"5623","537.466271746","194.156.155.239","192.168.64.11","DoH","383","Standard query response 0x0000 A www.youtube.com CNAME youtube-ui.l.google.com A 216.58.215.142 A 216.58.215.174 A 142.250.178.174 A 142.250.184.14 A 142.250.185.14 A 142.250.200.110 A 142.250.200.142 A 172.217.17.14 A 172.217.168.174 A 216.58.209.78 A 142.250.184.174 A 142.250.200.78 A 142.250.201.78 OPT"
"5625","537.466271788","194.156.155.239","192.168.64.11","DoH","190","Standard query response 0x0000 HTTPS www.youtube.com CNAME youtube-ui.l.google.com HTTPS OPT"
"5630","537.481294159","194.156.155.239","192.168.64.11","DoH","173","Standard query response 0x0000 AAAA consent.youtube.com AAAA 2a00:1450:4003:803::200e OPT"
"5633","537.481629787","194.156.155.239","192.168.64.11","DoH","161","Standard query response 0x0000 A consent.youtube.com A 142.250.185.14 OPT"
"5636","537.483305550","194.156.155.239","192.168.64.11","DoH","214","Standard query response 0x0000 AAAA tiles-cdn.prod.ads.prod.webservices.mozgcp.net AAAA 2600:1901:0:8e3f:: OPT"
"5637","537.483305550","194.156.155.239","192.168.64.11","DoH","265","Standard query response 0x0000 HTTPS tiles-cdn.prod.ads.prod.webservices.mozgcp.net SOA ns-cloud-e1.googledomains.com OPT"
"5639","537.483305592","194.156.155.239","192.168.64.11","DoH","206","Standard query response 0x0000 A tiles-cdn.prod.ads.prod.webservices.mozgcp.net A 34.36.165.17 OPT"
"5640","537.483305634","194.156.155.239","192.168.64.11","DoH","231","Standard query response 0x0000 A incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com A 34.120.208.123 OPT"
